Title,Company,Location,Type
External Processing Coordinator,Power Solutions -,"6th of October, Giza, Egypt","Full Time
On-site"
Production Engineer,Perfecto Polymers -,"Badr City, Cairo, Egypt","Full Time
On-site"
Document Controller,ADCONS -,"Cairo, Egypt","Full Time
On-site"
Deputy IT Manager for Infrastructure,Nile University -,"Sheikh Zayed, Giza, Egypt","Full Time
On-site"
QC Civil Engineer,Energya power and telecom solutions Elsewedy Helal -,"Cairo, Egypt","Full Time
On-site"
In-Process Control Quality Officer - Alex,Parkville Pharmaceuticals -,"Bourj Alarab, Alexandria, Egypt","Full Time
On-site"
Oracle Developer,El Mohandess Print House -,"10th of Ramadan City, Sharqia, Egypt","Full Time
On-site"
Sales Account Manager,Misr International Systems -,"Sheikh Zayed, Giza, Egypt","Full Time
On-site"
Performance Management & KPI Office Manager,XAI Technology -,"New Cairo, Cairo, Egypt","Full Time
On-site"
Senior Laravel Developer,34ML -,"Heliopolis, Cairo, Egypt","Full Time
Hybrid"
R&D Specialist,Zeta Pharma -,"Alsadat City, Monufya, Egypt","Full Time
On-site"
Planning Supervisor,NILEWOOD -,"Alsadat City, Monufya, Egypt","Full Time
On-site"
Design Review Manager,RISEUP (Endemag for Administrative Skills Development) -,"Maadi, Cairo, Egypt","Full Time
Hybrid"
Sales Administrator,OTAK Trading & Contracting -,"New Cairo, Cairo, Egypt","Full Time
On-site"
accountant,AlMaraag for Real Estate Development -,"Rehab City, Cairo, Egypt","Full Time
On-site"
Planning Section Head (Agriculture Background),Confidential -,"New Cairo, Cairo, Egypt","Full Time
On-site"
Accounting Section Head,Bokra -,"Maadi, Cairo, Egypt","Full Time
On-site"
BIM Mechanical,IDC Group -,"Cairo, Egypt","Full Time
On-site"
Land Surveyor,CSI -,"Heliopolis, Cairo, Egypt","Full Time
On-site"
Senior Backend Developer (Manufacturing),K Line Europe -,"Nasr City, Cairo, Egypt","Full Time
Shift Based
Remote"
System Administrator,Sega_m -,"10th of Ramadan City, Sharqia, Egypt","Full Time
On-site"
Senior Structure Technical Office,Link International -,"Hurghada, Red Sea, Egypt","Full Time
On-site"
QA section head,Confidential -,"6th of October, Giza, Egypt","Full Time
On-site"
Technical Manager - firefighting Pumps,Hemaya EG -,"Cairo, Egypt","Full Time
On-site"
QA/ Process Improvement Specialist (Not a software testing position),Fixed Solutions -,"Cairo, Egypt","Full Time
Hybrid"
Odoo Developer,Confidential -,"Mokattam, Cairo, Egypt","Full Time
On-site"
Quality Control Manager,Confidential -,"Salam City, Cairo, Egypt","Full Time
On-site"
BIM Coordinator,Stradigimc -,"Cairo, Egypt","Full Time
Remote"
Production Planning Officer,El Mayhop for Food Industries الميهوب للصناعات الغذائية -,"Alsadat City, Monufya, Egypt","Full Time
On-site"
Production Manager,Confidential -,"khanka, Qalubia, Egypt","Full Time
On-site"
Technical Office Manager,Confidential -,"Aswan, Aswan, Egypt","Full Time
On-site"
Backend Node js Developer,Objects -,"Alexandria, Egypt","Full Time
Hybrid"
Maintenance Planner (Port Said),Sky ports -,"Sharq, Port Said, Egypt","Full Time
On-site"
IT Manager,etisal for advanced industries -,"6th of October, Giza, Egypt","Full Time
On-site"
Demand Planning Manager,Alarabia Group -,"Cairo, Egypt","Full Time
On-site"
Customer Support Representative/Procurement Officer,RISEUP (Endemag for Administrative Skills Development) -,"Heliopolis, Cairo, Egypt","Full Time
On-site"
Senior UX-UI Product Designer,Aptivamena Tech -,"Cairo, Egypt","Full Time
On-site"
Operations Excellence Director,Valmore Holding -,"New Cairo, Cairo, Egypt","Full Time
On-site"
Backend Developer,Advanced Engineering Consultations -,"Giza, Egypt","Full Time
On-site"
Business System Analyst,Andersen Lab -,"Jeddah, Saudi Arabia","Full Time
Remote"
Senior Coordinator,MCV - Obour -,"Obour City, Cairo, Egypt","Full Time
On-site"
Solar PV Specialist,CSI -,"Heliopolis, Cairo, Egypt","Full Time
On-site"
Project Controls Lead,CSI -,"Heliopolis, Cairo, Egypt","Full Time
On-site"
QA/QC Inspector – Electrical / Mechanical,CSI -,"Heliopolis, Cairo, Egypt","Full Time
On-site"
Mid-Level Software Tester,Expert Apps -,"Maadi, Cairo, Egypt","Full Time
Hybrid"
Maintenance Manager – Concentrates & IQF,El Banna Group Company -,"Alsadat City, Monufya, Egypt","Full Time
On-site"
Senior Safety & Quality Specialist,Elsewedy Electric -,"Cairo, Egypt","Full Time
On-site"
Senior Electrical Technical Office,SHERIF EL-GOHARY & CO. -,"Mohandessin, Giza, Egypt","Full Time
On-site"
Water Treatment & Utilities Technician - KSA,APEX Pharma -,"Rabigh, Saudi Arabia","Full Time
On-site"
Senior Back-end Developer – Java,Confidential -,"Heliopolis, Cairo, Egypt","Full Time
Part Time
On-site"
Senior Organizational Development.,Town Team -,"Nasr City, Cairo, Egypt","Full Time
On-site"
Business Development Specialist (Bani Swief Branch),Industrial Modernisation Centre (IMC) -,"Beni Suef, Egypt","Full Time
Hybrid"
Operations Manager.,Roselle Foods Limited -,"Dar es Salaam, Tanzania","Full Time
On-site"
HSE Specialist,Egypt Gold -,"Obour City, Cairo, Egypt","Full Time
On-site"
Budget and Cost Controller,الشرقية للضفائر الكهربائية -elsharkia for electric wiring harness -,"Belbes, Sharqia, Egypt","Full Time
On-site"
Inventory and Cost Controller,الشرقية للضفائر الكهربائية -elsharkia for electric wiring harness -,"Belbes, Sharqia, Egypt","Full Time
On-site"
Die-Casting Production Section Head,Gest For Metals -,"Sharqia, Egypt","Full Time
On-site"
Quality Control Manager,K Line Europe -,"Nasr City, Cairo, Egypt","Full Time
Shift Based
On-site"
Injection Production Manager,El Teriak Industrial Group -,"6th of October, Giza, Egypt","Full Time
On-site"
IT Manager,Confidential -,"6th of October, Giza, Egypt","Full Time
On-site"
Senior Java Developer,Egabi FSI -,"Sheraton, Cairo, Egypt","Full Time
On-site"
Senior Oracle Apps DBA (Oracle E-Business Suite R12),GEMMA -,"Haram, Giza, Egypt","Full Time
On-site"
Technical Officer,Industrial Modernisation Centre (IMC) -,"Nasr City, Cairo, Egypt","Full Time
On-site"
Stock Control Manager,Ninos Kids Wear -,"Maadi, Cairo, Egypt","Full Time
On-site"
Global PMO Manager,K Line Europe -,"Nasr City, Cairo, Egypt","Full Time
Shift Based
Hybrid"
Factory Maintenance Manager,Confidential -,"Bourj Alarab, Alexandria, Egypt","Full Time
On-site"
Director of Operational Excellence & Supply Chain,Confidential -,"Nasr City, Cairo, Egypt","Full Time
Shift Based
Hybrid"
Operational Project Manager,Confidential -,"Fayoum, Fayoum, Egypt","Full Time
On-site"
Drilling Department Manager,FAID ALNAAM -,"Farafra, New Valley, Egypt","Full Time
On-site"
Network Specialist,Egyptian Packaging and Plastic Systems Corp -,"Manial, Cairo, Egypt","Full Time
On-site"
BIM Electrical Manager,Takweenat -,"New Cairo, Cairo, Egypt","Full Time
On-site"
Sales Manager – Light Current & Display Systems,ACS -,"Cairo, Egypt","Full Time
On-site"
HSE Section Head,Confidential -,"Bourj Alarab, Alexandria, Egypt","Full Time
On-site"
Business Analyst,TECHNOSAT -,"Cairo, Egypt","Full Time
Hybrid"
BIM Coordinator (Architectural),ACE -,"Cairo, Egypt","Full Time
On-site"
HSE Officer,Hassan Allam Sports Club -,"New Cairo, Cairo, Egypt","Full Time
On-site"
Material Planner,Confidential -,"10th of Ramadan City, Cairo, Egypt","Full Time
On-site"
IT Operations & Infrastructure Manager,Kgroup -,"Obour City, Cairo, Egypt","Full Time
On-site"
Accounting Manager - Alexandria,MENA For Contracting & Trading -,"San Stefano, Alexandria, Egypt","Full Time
On-site"
IT Infrastructure & Support Administrator,GEMMA -,"Haram, Giza, Egypt","Full Time
On-site"
Digital Transformation & Systems Specialist,Confidential -,"New Cairo, Cairo, Egypt","Full Time
On-site"
Materials & Production Planning Specialist - Background Foods,Marbella For Food Industry -,"6th of October, Giza, Egypt","Full Time
On-site"
Group IT Manager,TEPCO S.A.E. -,"6th of October, Giza, Egypt","Full Time
On-site"
Senior Odoo Developer,Sharm Dreams Group -,"Manial, Cairo, Egypt","Full Time
On-site"
Business Analytics Lead,BasharSoft -,"Cairo, Egypt","Full Time
Hybrid"
Change Management Coordinator,RISEUP (Endemag for Administrative Skills Development) -,"Maadi, Cairo, Egypt","Full Time
Hybrid"
Planning Specialist,SPEED SC & Logistics -,"Alexandria, Egypt","Full Time
On-site"
HSE Assistant Manager,SAVOLA -,"10th of Ramadan City, Sharqia, Egypt","Full Time
On-site"
Sales Manager,Egypt Africa -,"Katameya, Cairo, Egypt","Full Time
On-site"
Cost & Project Controller,Atkins Realis -,"Cairo, Egypt","Full Time
Hybrid"
HSE Manager,Confidential -,"Alsadat City, Monufya, Egypt","Full Time
On-site"
Maintenance Manager,Dakahlia Group -,"Altall Alkabir, Ismailia, Egypt","Full Time
On-site"
R&D Draftsman,Tank -,"10th of Ramadan City, Cairo, Egypt","Full Time
On-site"
Senior Design BIM Architect,EGYGAB Developments -,"New Cairo, Cairo, Egypt","Full Time
On-site"
MEP Draftsman,Conserv -,"Cairo, Egypt","Full Time
On-site"
VP of Operations Associate,Deutschland Technology Limited -,"Obour City, Cairo, Egypt","Full Time
On-site"
Factory Manager,Confidential -,"Bourj Alarab, Alexandria, Egypt","Full Time
On-site"
Senior Oracle Developer (E-Business Suite).,Akhnaton Trading and distribution - EVA Group Limted -,"Cairo, Egypt","Full Time
On-site"
Maintenance Manager,Confidential -,"10th of Ramadan City, Cairo, Egypt","Full Time
On-site"
Flutter Mobile Developer,Tawfeer -,"Maadi, Cairo, Egypt","Full Time
Hybrid"
Senior Mobile Developer,Mondia Media Egypt -,"Cairo, Egypt","Full Time
On-site"
Research & Development Manager,Confidential -,"6th of October, Giza, Egypt","Full Time
On-site"
BIM Architectural Manager,Takweenat -,"New Cairo, Cairo, Egypt","Full Time
On-site"
AI Specialist,EMIRATES BARQ -,"Sharjah, United Arab Emirates","Full Time
Remote"
ETL & BI Developer (Alteryx & Tableau),ISFP -,"Smouha, Alexandria, Egypt","Part Time
Remote"
Procurement Specialist – Packaging Materials,Confidential -,"Bourj Alarab, Alexandria, Egypt","Full Time
On-site"
Procurement Specialist Outsourced,Prometeon tyres group – Egypt -,"Ameria, Alexandria, Egypt","Full Time
Hybrid"
Sales Coordinator,Magico group -,"Obour City, Cairo, Egypt","Full Time
On-site"
SAP ERP Section Head,Confidential -,"New Cairo, Cairo, Egypt","Full Time
On-site"
Fleet Country Manager,Confidential -,"New Cairo, Cairo, Egypt","Full Time
On-site"
BI Developer,Global Brands -,"Cairo, Egypt","Internship
Hybrid"
Warehouse Manager,Confidential -,"Misratah, Libya","Full Time
On-site"
Procurement Analyst,Confidential -,"Nasr City, Cairo, Egypt","Full Time
On-site"
Senior Purchasing Specialist,Confidential -,"Mohandessin, Giza, Egypt","Full Time
On-site"
Quality Assurance Section Head,Egyptian Engineering Company -,"6th of October, Giza, Egypt","Full Time
On-site"
Procurement Manager,Erada -,"Maadi, Cairo, Egypt","Full Time
On-site"
Quality Manager,Le souverain -,"10th of Ramadan City, Sharqia, Egypt","Full Time
On-site"
Product Designer,BasharSoft -,"Cairo, Egypt","Full Time
Hybrid"
QA & Document Control Specialist,NILEWOOD -,"Alsadat City, Monufya, Egypt","Full Time
On-site"
Human Resources Generalist,Confidential -,"6th of October, Giza, Egypt","Full Time
On-site"
Demand and Production Planning Sechion Head,Arab Otsuka Nutraceuticals -,"10th of Ramadan City, Sharqia, Egypt","Full Time
On-site"
Senior HR Operations Specialist,ACE Consulting Engineers (Moharram - Bakhoum -,"Giza, Egypt","Full Time
On-site"
Sales Account Manager,شركة سوبر للاستيراد و التصدير -,"Ataba, Cairo, Egypt","Full Time
On-site"
Accounting Clerk,AlAndalos for real estate -,"Glim, Alexandria, Egypt","Full Time
On-site"
Senior Automotive Diagnostic Technician (Remote,CarDealsChicago -,"Chicago, United States","Full Time
Remote"
Full Stack Developer (Frontend-Focused),Adwar Logistics -,"Cairo, Egypt","Full Time
Freelance / Project
Hybrid"
Administrative Assistant.,Target Engineering -,"Cairo, Egypt","Full Time
On-site"
Senior Frontend Developer- Angular,Egabi FSI -,"Sheraton, Cairo, Egypt","Full Time
On-site"
Chemist Operator - (RO),Taqa Water -,"Maadi, Cairo, Egypt","Full Time
On-site"
Planning Manager,Confidential -,"New Cairo, Cairo, Egypt","Full Time
On-site"
Supply Chain Planning Section Head,Orient -,"Shubra, Cairo, Egypt","Full Time
On-site"
Technical Project Coordinator (Assistant to the CTO),Confidential -,"Riyadh, Saudi Arabia","Full Time
On-site"
Senior Sales Operation,Turbo Compression -,"Heliopolis, Cairo, Egypt","Full Time
On-site"
Oracle Apps Database Administrator,EVA Cosmetics -,"Downtown, Cairo, Egypt","Full Time
On-site"
IT Manager,Confidential -,"10th of Ramadan City, Sharqia, Egypt","Full Time
On-site"
Information Systems Department Manager,Confidential -,"New Cairo, Cairo, Egypt","Full Time
On-site"
Warehouse Manager,Confidential -,"Nasr City, Cairo, Egypt","Full Time
On-site"
Operation Specialist,Orion -,"Madinaty, Cairo, Egypt","Full Time
On-site"
ERP Implementer,Erpplus5 -,"Maadi, Cairo, Egypt","Full Time
On-site"
Planning Specialist,Koning Food Industries -,"10th of Ramadan City, Sharqia, Egypt","Full Time
On-site"
Senior Business Analyst,Egabi FSI -,"Sheraton, Cairo, Egypt","Full Time
On-site"
Business Development & Expansion Manager,Spinneys Egypt -,"Maadi, Cairo, Egypt","Full Time
On-site"
Digital Solutions Sales Lead,Advanced Engineering Consultations -,"Giza, Egypt","Full Time
On-site"
IT Specialist,Confidential -,"Haram, Giza, Egypt","Full Time
On-site"
Procurement Section Head,MY WAY -,"Obour City, Cairo, Egypt","Full Time
On-site"
Financial Planning & Analysis (FP&A) Analyst,NERIC -,"Heliopolis, Cairo, Egypt","Full Time
On-site"
Odoo ERP Developer,K Line Europe -,"Cairo, Egypt","Full Time
Remote"
Supply Chain Analyst,El Ola steel Group -,"Sheikh Zayed, Giza, Egypt","Full Time
On-site"
Produce Manager,iraqi National for Glass and matel Caps -,"Baghdad, Iraq","Full Time
On-site"
Oracle Apps Database Administrator,Egabi FSI -,"Sheraton, Cairo, Egypt","Full Time
On-site"
UI Web Developer,Erpplus5 -,"Maadi, Cairo, Egypt","Full Time
Volunteering
Hybrid"
Senior Full Stack Developer (.NET Core & Angular),فلوروز -,"Maadi, Cairo, Egypt","Full Time
On-site"
ERP Application Support,Ibn Sina Pharma -,"New Cairo, Cairo, Egypt","Full Time
Hybrid"
Middle Golang Developer,Vertex Technologies -,"Cairo, Egypt","Full Time
On-site"
Senior Foreign Procurement & Logistics Specialist,Egyptian Packaging and Plastic Systems Corp -,"Masr Al Qadima, Cairo, Egypt","Full Time
On-site"
Ecosystem & Business Development Manager,Nile University -,"Giza, Egypt","Full Time
On-site"
CAFM Specialist (Computer-Aided Facility Management),Fakeeh University Hospital -,"Cairo, Egypt","Full Time
Hybrid"
"Senior Associate, Business Development",Nile University -,"Sheikh Zayed, Giza, Egypt","Full Time
On-site"
Operation Team Leader,Confidential -,"Damietta, Damietta, Egypt","Full Time
On-site"
Production Manager - Sheet Metal,Confidential -,"10th of Ramadan City, Sharqia, Egypt","Full Time
On-site"
Planning Manager,EGMED -,"Cairo, Egypt","Full Time
On-site"
Full Time/ Part Time Instructors /Faculty Members & Teaching Assistants,SU Tech - Elsewedy University -,"10th of Ramadan City, Sharqia, Egypt","Full Time
Part Time
On-site"
HSE Area Manager,Arabtec -,"Alamein, Matruh, Egypt","Full Time
On-site"
Human Resources Supervisor (Construction),Confidential -,"Cairo, Egypt","Full Time
On-site"
Senior Talent Management Specialist,NERIC -,"Cairo, Egypt","Full Time
On-site"
Digital Media Buyer,Ghoneim Developments Group -,"New Cairo, Cairo, Egypt","Full Time
On-site"
Technical Software Project Leader – Full Stack .NET,IKEN Technology -,"Maadi, Cairo, Egypt","Full Time
On-site"
Full Stack Developer,Roaya -,"Maadi, Cairo, Egypt","Full Time
On-site"
Senior Android Developer,Madar Soft -,"Fleming, Alexandria, Egypt","Full Time
Remote"
Group Talent Acquistion Manager,Gazala Steel Fabrication GSF -,"New Cairo, Cairo, Egypt","Full Time
On-site"
General Accountant,Orouba Misr -,"Smouha, Alexandria, Egypt","Full Time
On-site"
Backend Developer,nichepharma -,"Sheikh Zayed, Giza, Egypt","Internship
Remote"
HR Operations Lead,CSI -,"Heliopolis, Cairo, Egypt","Full Time
On-site"
Odoo ERP Implementer,K Line Europe -,"Cairo, Egypt","Full Time
Remote"
PHP Full Stack Developer,Mora Communications Company -,"New Cairo, Cairo, Egypt","Full Time
On-site"
Secretary / Sales Coordinator,PNP for maintenance company -,"Ain Shams, Cairo, Egypt","Full Time
On-site"
HSE Manager,MATGR For Engineering And Trading -,"New Cairo, Cairo, Egypt","Full Time
On-site"
Software QA Tester,Tawfeer -,"Maadi, Cairo, Egypt","Full Time
Hybrid"
Dental CAD Designer/ Surgical Guide,3Sixty -,"Mohandessin, Giza, Egypt","Full Time
Hybrid"
Marketing Executive,IEI -,"10th of Ramadan City, Sharqia, Egypt","Full Time
On-site"
Senior Talent Acquisition Specialist,Arabian Construction Co. -,"New Cairo, Cairo, Egypt","Full Time
On-site"
Sales Representative,Tenda Smart -,"Obour City, Cairo, Egypt","Full Time
Hybrid"
IT Help Desk Specialist,PRE Group -,"New Cairo, Cairo, Egypt","Full Time
On-site"
Senior ICT Service Desk Administrator,Tank -,"New Nozha, Cairo, Egypt","Full Time
On-site"
Sales Specialist,Tenda Smart -,"Obour City, Cairo, Egypt","Full Time
On-site"
Technical Support Specialist,Orion -,"Madinaty, Cairo, Egypt","Full Time
On-site"
Senior Accountant-Real Estate,Confidential -,"New Cairo, Cairo, Egypt","Full Time
Hybrid"
Full Stack Developer - WordPress ToSaaS Migration,AIS -,"Cairo, Egypt","Full Time
Hybrid"
Executive Assistant,Dakahlia Group -,"Nasr City, Cairo, Egypt","Full Time
On-site"
Senior Full Stack Developer,Bright Vision -,"Giza, Giza, Egypt","Full Time
On-site"
SAP Enterprise Asset Management (EAM) Consultant,Intrasoft ME -,"Cairo, Egypt","Freelance / Project
Hybrid"
Accounting Manager,El Alfy Group -,"Maadi, Cairo, Egypt","Full Time
On-site"
Oracle APEX Developer,ICIS -,"New Cairo, Cairo, Egypt","Full Time
Hybrid"
odoo developer,Jaffangroup -,"Obour City, Cairo, Egypt","Full Time
On-site"
Odoo Functional Consultant / Implementer,Original International For trailers -,"Obour City, Cairo, Egypt","Full Time
On-site"
Product Designer - Furniture,Riadco 2000 -,"Obour City, Cairo, Egypt","Full Time
On-site"
Odoo Developer,Confidential -,"Benghazi, Libya","Full Time
On-site"
IT Support Specialist,Cairoscan -,"Mohandessin, Giza, Egypt","Full Time
On-site"
International Project Manager Assistant,GloBAS Group -,"Dubai, United Arab Emirates","Internship
Remote"
Procurement Specialist - Marine,Confidential -,"Alexandria, Egypt","Full Time
On-site"
QC Manager,FlexFilms Egypt -,"6th of October, Giza, Egypt","Full Time
On-site"
IT Help Desk Specialist,PRE Group -,"New Cairo, Cairo, Egypt","Full Time
On-site"
Senior ICT Service Desk Administrator,Tank -,"New Nozha, Cairo, Egypt","Full Time
On-site"
Sales Specialist,Tenda Smart -,"Obour City, Cairo, Egypt","Full Time
On-site"
Technical Support Specialist,Orion -,"Madinaty, Cairo, Egypt","Full Time
On-site"
Senior Accountant-Real Estate,Confidential -,"New Cairo, Cairo, Egypt","Full Time
Hybrid"
Full Stack Developer - WordPress ToSaaS Migration,AIS -,"Cairo, Egypt","Full Time
Hybrid"
Executive Assistant,Dakahlia Group -,"Nasr City, Cairo, Egypt","Full Time
On-site"
Senior Full Stack Developer,Bright Vision -,"Giza, Giza, Egypt","Full Time
On-site"
SAP Enterprise Asset Management (EAM) Consultant,Intrasoft ME -,"Cairo, Egypt","Freelance / Project
Hybrid"
Accounting Manager,El Alfy Group -,"Maadi, Cairo, Egypt","Full Time
On-site"
Oracle APEX Developer,ICIS -,"New Cairo, Cairo, Egypt","Full Time
Hybrid"
odoo developer,Jaffangroup -,"Obour City, Cairo, Egypt","Full Time
On-site"
Odoo Functional Consultant / Implementer,Original International For trailers -,"Obour City, Cairo, Egypt","Full Time
On-site"
Product Designer - Furniture,Riadco 2000 -,"Obour City, Cairo, Egypt","Full Time
On-site"
Odoo Developer,Confidential -,"Benghazi, Libya","Full Time
On-site"
IT Support Specialist,Cairoscan -,"Mohandessin, Giza, Egypt","Full Time
On-site"
International Project Manager Assistant,GloBAS Group -,"Dubai, United Arab Emirates","Internship
Remote"
Procurement Specialist - Marine,Confidential -,"Alexandria, Egypt","Full Time
On-site"
QC Manager,FlexFilms Egypt -,"6th of October, Giza, Egypt","Full Time
On-site"
IT Help Desk Specialist,PRE Group -,"New Cairo, Cairo, Egypt","Full Time
On-site"
Senior ICT Service Desk Administrator,Tank -,"New Nozha, Cairo, Egypt","Full Time
On-site"
Sales Specialist,Tenda Smart -,"Obour City, Cairo, Egypt","Full Time
On-site"
Technical Support Specialist,Orion -,"Madinaty, Cairo, Egypt","Full Time
On-site"
Senior Accountant-Real Estate,Confidential -,"New Cairo, Cairo, Egypt","Full Time
Hybrid"
Full Stack Developer - WordPress ToSaaS Migration,AIS -,"Cairo, Egypt","Full Time
Hybrid"
Executive Assistant,Dakahlia Group -,"Nasr City, Cairo, Egypt","Full Time
On-site"
Senior Full Stack Developer,Bright Vision -,"Giza, Giza, Egypt","Full Time
On-site"
SAP Enterprise Asset Management (EAM) Consultant,Intrasoft ME -,"Cairo, Egypt","Freelance / Project
Hybrid"
Accounting Manager,El Alfy Group -,"Maadi, Cairo, Egypt","Full Time
On-site"
Oracle APEX Developer,ICIS -,"New Cairo, Cairo, Egypt","Full Time
Hybrid"
odoo developer,Jaffangroup -,"Obour City, Cairo, Egypt","Full Time
On-site"
Odoo Functional Consultant / Implementer,Original International For trailers -,"Obour City, Cairo, Egypt","Full Time
On-site"
Product Designer - Furniture,Riadco 2000 -,"Obour City, Cairo, Egypt","Full Time
On-site"
Odoo Developer,Confidential -,"Benghazi, Libya","Full Time
On-site"
IT Support Specialist,Cairoscan -,"Mohandessin, Giza, Egypt","Full Time
On-site"
International Project Manager Assistant,GloBAS Group -,"Dubai, United Arab Emirates","Internship
Remote"
Procurement Specialist - Marine,Confidential -,"Alexandria, Egypt","Full Time
On-site"
QC Manager,FlexFilms Egypt -,"6th of October, Giza, Egypt","Full Time
On-site"
IT Help Desk Specialist,PRE Group -,"New Cairo, Cairo, Egypt","Full Time
On-site"
Senior ICT Service Desk Administrator,Tank -,"New Nozha, Cairo, Egypt","Full Time
On-site"
Sales Specialist,Tenda Smart -,"Obour City, Cairo, Egypt","Full Time
On-site"
Technical Support Specialist,Orion -,"Madinaty, Cairo, Egypt","Full Time
On-site"
Senior Accountant-Real Estate,Confidential -,"New Cairo, Cairo, Egypt","Full Time
Hybrid"
Full Stack Developer - WordPress ToSaaS Migration,AIS -,"Cairo, Egypt","Full Time
Hybrid"
Executive Assistant,Dakahlia Group -,"Nasr City, Cairo, Egypt","Full Time
On-site"
Senior Full Stack Developer,Bright Vision -,"Giza, Giza, Egypt","Full Time
On-site"
SAP Enterprise Asset Management (EAM) Consultant,Intrasoft ME -,"Cairo, Egypt","Freelance / Project
Hybrid"
Accounting Manager,El Alfy Group -,"Maadi, Cairo, Egypt","Full Time
On-site"
Oracle APEX Developer,ICIS -,"New Cairo, Cairo, Egypt","Full Time
Hybrid"
odoo developer,Jaffangroup -,"Obour City, Cairo, Egypt","Full Time
On-site"
Odoo Functional Consultant / Implementer,Original International For trailers -,"Obour City, Cairo, Egypt","Full Time
On-site"
Product Designer - Furniture,Riadco 2000 -,"Obour City, Cairo, Egypt","Full Time
On-site"
Odoo Developer,Confidential -,"Benghazi, Libya","Full Time
On-site"
IT Support Specialist,Cairoscan -,"Mohandessin, Giza, Egypt","Full Time
On-site"
International Project Manager Assistant,GloBAS Group -,"Dubai, United Arab Emirates","Internship
Remote"
Procurement Specialist - Marine,Confidential -,"Alexandria, Egypt","Full Time
On-site"
QC Manager,FlexFilms Egypt -,"6th of October, Giza, Egypt","Full Time
On-site"
IT Help Desk Specialist,PRE Group -,"New Cairo, Cairo, Egypt","Full Time
On-site"
Senior ICT Service Desk Administrator,Tank -,"New Nozha, Cairo, Egypt","Full Time
On-site"
Sales Specialist,Tenda Smart -,"Obour City, Cairo, Egypt","Full Time
On-site"
Technical Support Specialist,Orion -,"Madinaty, Cairo, Egypt","Full Time
On-site"
Senior Accountant-Real Estate,Confidential -,"New Cairo, Cairo, Egypt","Full Time
Hybrid"
Full Stack Developer - WordPress ToSaaS Migration,AIS -,"Cairo, Egypt","Full Time
Hybrid"
Executive Assistant,Dakahlia Group -,"Nasr City, Cairo, Egypt","Full Time
On-site"
Senior Full Stack Developer,Bright Vision -,"Giza, Giza, Egypt","Full Time
On-site"
SAP Enterprise Asset Management (EAM) Consultant,Intrasoft ME -,"Cairo, Egypt","Freelance / Project
Hybrid"
Accounting Manager,El Alfy Group -,"Maadi, Cairo, Egypt","Full Time
On-site"
Oracle APEX Developer,ICIS -,"New Cairo, Cairo, Egypt","Full Time
Hybrid"
odoo developer,Jaffangroup -,"Obour City, Cairo, Egypt","Full Time
On-site"
Odoo Functional Consultant / Implementer,Original International For trailers -,"Obour City, Cairo, Egypt","Full Time
On-site"
Product Designer - Furniture,Riadco 2000 -,"Obour City, Cairo, Egypt","Full Time
On-site"
Odoo Developer,Confidential -,"Benghazi, Libya","Full Time
On-site"
