Title,Company,Location,Type
Fleet Operations Manager,Confidential -,"Beni Suef, Beni Suef, Egypt","Full Time
On-site"
Architect Tender Engineer,RAQMU for Building and Construction -,"Cairo, Egypt","Full Time
On-site"
After-Sales Operations Engineer,Midea Group -,"Cairo, Egypt","Full Time
On-site"
AI Engineering Lead,Link Development -,"Maadi, Cairo, Egypt","Full Time
Hybrid"
Technical Office Engineer (Lighting & Wiring / Structure Cabling System),Al Andalus Electrical Solutions -,"New Cairo, Cairo, Egypt","Full Time
On-site"
Renewable Energy Engineer,Renewable Energy Pros -,"New Cairo, Cairo, Egypt","Full Time
On-site"
Tendering Engineer - Low & Medium Voltage Switchboards,ElectraTec for Electric Industries -,"10th of Ramadan City, Cairo, Egypt","Full Time
On-site"
Quality Control Engineer,Frank Noe Egypt -,"6th of October, Giza, Egypt","Full Time
On-site"
Quality Control Engineer,Eamar Al Delta -,"New Cairo, Cairo, Egypt","Full Time
On-site"
Senior Sales Engineer – HVAC,Professional Service - Proserv -,"New Cairo, Cairo, Egypt","Full Time
On-site"
AI Engineer,MEAHCO - Saudi German Health -,"Katameya, Cairo, Egypt","Full Time
On-site"
Production Engineer,Frank Noe Egypt -,"6th of October, Giza, Egypt","Full Time
On-site"
Production Engineer,Sadko Plast -,"10th of Ramadan City, Sharqia, Egypt","Full Time
On-site"
Fitout Engineer,Bakir Construction Company -,"Cairo, Egypt","Full Time
On-site"
Sales Support Engineer,Mymsa -,"Cairo, Egypt","Full Time
On-site"
Planning Engineer,RAQMU for Building and Construction -,"Cairo, Egypt","Full Time
On-site"
Russian Construction (Civil) Engineer,Korea Hydro Nuclear Power co.LTD (KHNP) -,"Dabaa, Matruh, Egypt","Full Time
On-site"
Mechanical Technical Office Engineer,RAQMU for Building and Construction -,"Cairo, Egypt","Full Time
On-site"
Localization Engineer - Manufacturing,RAYA Auto -,"6th of October, Giza, Egypt","Full Time
On-site"
Estimation Engineer,Masria Group -,"Obour City, Cairo, Egypt","Full Time
On-site"
Quality Control Engineer,Electronic & Electrical Engineering - 3E -,"Cairo, Egypt","Full Time
On-site"
Senior Planning Engineer,Infracon -,"Heliopolis, Cairo, Egypt","Full Time
On-site"
Senior Tendering & Estimation Engineer,Confidential -,"Sheikh Zayed, Giza, Egypt","Full Time
On-site"
QUALITY ENGINEER,Alex form -,"Ain Sokhna, Suez, Egypt","Full Time
On-site"
"Remote Tech Opportunity | Senior Tech Specialists Wanted | Earn Up To $1,000 USD Per Month",Confidential -,"Doha, Qatar","Full Time
Part Time
Freelance / Project
Remote"
Production Engineer,idaco -,"6th of October, Giza, Egypt","Full Time
On-site"
HVAC Sales Engineer,Heliopolis Engineering and Trading HETO -,"Heliopolis, Cairo, Egypt","Full Time
Remote"
"DevOps Engineer – OCI, CI/CD & Temenos (Banking) | Egyptians Only",Easy System -,"Muscat, Oman","Full Time
On-site"
Maintenance Engineer - Mobile,Raya Distribution -,"Suez, Suez, Egypt","Full Time
On-site"
Assistant Surveyor,PRE Group -,"New Cairo, Cairo, Egypt","Full Time
On-site"
Wet Utility Site Engineer,Confidential -,"Alexandria, Egypt","Full Time
On-site"
Senior Automation QA Engineer,Vertex Technologies -,"Cairo, Egypt","Full Time
On-site"
Spare Parts & Inventory Control Engineer,Masria Group -,"Obour City, Cairo, Egypt","Full Time
On-site"
Supply Chain Engineer,Confidential -,"6th of October, Giza, Egypt","Full Time
On-site"
AI-Native Software Engineer (Full-Stack),Vertex Technologies -,"Cairo, Egypt","Full Time
On-site"
Technical Office Engineer MEP,Pronet Engineering for Trade & Contracting -,"Nasr City, Cairo, Egypt","Full Time
On-site"
Production Engineer ( Background Foods ),Marbella For Food Industry -,"6th of October, Giza, Egypt","Full Time
On-site"
Procurement Engineer-Curtain Wall,CSCEC International Facade Egypt Co Ltd -,"Ain Sokhna, Suez, Egypt","Full Time
On-site"
Tendering Engineer,Firoz Group -,"Nasr City, Cairo, Egypt","Full Time
On-site"
Mechanical Maintenance Engineer,Koning Food Industries -,"10th of Ramadan City, Sharqia, Egypt","Full Time
On-site"
Infrastructure Engineer,National technology group -,"6th of October, Giza, Egypt","Full Time
Hybrid"
Mid-Level Cloud Native Engineer,Confidential -,"Maadi, Cairo, Egypt","Full Time
On-site"
"DevOps Engineer – OCI, CI/CD & Temenos (Banking) | Egyptians Only",Easy System -,"Muscat, Oman","Full Time
On-site"
Maintenance Engineer - Mobile,Raya Distribution -,"Suez, Suez, Egypt","Full Time
On-site"
Assistant Surveyor,PRE Group -,"New Cairo, Cairo, Egypt","Full Time
On-site"
Wet Utility Site Engineer,Confidential -,"Alexandria, Egypt","Full Time
On-site"
Senior Automation QA Engineer,Vertex Technologies -,"Cairo, Egypt","Full Time
On-site"
Spare Parts & Inventory Control Engineer,Masria Group -,"Obour City, Cairo, Egypt","Full Time
On-site"
Supply Chain Engineer,Confidential -,"6th of October, Giza, Egypt","Full Time
On-site"
AI-Native Software Engineer (Full-Stack),Vertex Technologies -,"Cairo, Egypt","Full Time
On-site"
Technical Office Engineer MEP,Pronet Engineering for Trade & Contracting -,"Nasr City, Cairo, Egypt","Full Time
On-site"
Production Engineer ( Background Foods ),Marbella For Food Industry -,"6th of October, Giza, Egypt","Full Time
On-site"
Procurement Engineer-Curtain Wall,CSCEC International Facade Egypt Co Ltd -,"Ain Sokhna, Suez, Egypt","Full Time
On-site"
Tendering Engineer,Firoz Group -,"Nasr City, Cairo, Egypt","Full Time
On-site"
Mechanical Maintenance Engineer,Koning Food Industries -,"10th of Ramadan City, Sharqia, Egypt","Full Time
On-site"
Infrastructure Engineer,National technology group -,"6th of October, Giza, Egypt","Full Time
Hybrid"
Mid-Level Cloud Native Engineer,Confidential -,"Maadi, Cairo, Egypt","Full Time
On-site"
Junior Manual QA Engineer,Vertex Technologies -,"Cairo, Egypt","Full Time
On-site"
Procurement Manager- Engineer,Confidential -,"Heliopolis, Cairo, Egypt","Full Time
On-site"
Sales & BD Engineer,Professional Service - Proserv -,"New Cairo, Cairo, Egypt","Full Time
On-site"
Junior Demand Planner,Dakahlia Group -,"Nasr City, Cairo, Egypt","Full Time
On-site"
Technical Office Engineer (Revit) (Interior scope),EGY UNIFORM ARCHITECTS + DESIGNS -,"Nasr City, Cairo, Egypt","Full Time
On-site"
Cost Engineer,RISEUP (Endemag for Administrative Skills Development) -,"Maadi, Cairo, Egypt","Full Time
Hybrid"
Senior Data Scientist,Egabi FSI -,"Sheraton, Cairo, Egypt","Full Time
On-site"
Tendering Engineer,ADCONS -,"Cairo, Egypt","Full Time
On-site"
Sterile Mechanical Engineer,Amoun Pharmaceutical -,"Obour City, Cairo, Egypt","Full Time
On-site"
Assistant to Program Director - School of Engineering & Applied Sciences,Nile University -,"Sheikh Zayed, Giza, Egypt","Full Time
On-site"
Senior Backend Engineer (Node.js / NestJS / TypeScript),tech technology -,"Cairo, Egypt","Full Time
Remote"
tendering and procurement engineer,Petro-Teq for industrial solution -,"Smouha, Alexandria, Egypt","Full Time
On-site"
Warehouse Section Head,Confidential -,"Abu Qurqas, Minya, Egypt","Full Time
On-site"
Data Analyst,EGMED -,"Cairo, Egypt","Full Time
On-site"
Production Engineer,Arias Egypt -,"Alsadat City, Monufya, Egypt","Full Time
On-site"
Technical Office Architect Engineer,Link International -,"Cairo, Egypt","Full Time
On-site"
R&D Engineer,Alex form -,"Alexandria, Egypt","Full Time
On-site"
Sales Engineer – Industrial Solutions (Alexandria),Trust Engineering Company -,"Alexandria, Egypt","Full Time
On-site"
Sales Engineer – Industrial Solutions (Cairo),Trust Engineering Company -,"Alexandria, Egypt","Full Time
On-site"
Electrical Technical Office Engineer,MIG - Masrya International Group for engineering & contracting S.A.E -,"6th of October, Giza, Egypt","Full Time
On-site"
Mid-level Manual QA Engineer,Vertex Technologies -,"Cairo, Egypt","Full Time
On-site"
Contracts & Claims Engineer,CSI -,"Heliopolis, Cairo, Egypt","Full Time
On-site"
Instrumentation & Control Engineer,Activa International -,"6th of October, Giza, Egypt","Full Time
On-site"
Sr.Tendering Engineer,Jidaar Construction -,"Heliopolis, Cairo, Egypt","Full Time
On-site"
Planning Engineer,TRAVCO GROUP -,"Sheikh Zayed, Giza, Egypt","Full Time
On-site"
R&D Engineer,EGIC -,"6th of October, Giza, Egypt","Full Time
On-site"
Technical Office Mechanical Engineer,CoreTec for Engineering Service -,"Cairo, Egypt","Full Time
On-site"
CNC Engineer,Confidential -,"Obour City, Cairo, Egypt","Full Time
On-site"
Mechanical Technical Office Engineer,Egyptian Engineering Company -,"6th of October, Giza, Egypt","Full Time
On-site"
Senior Electrical Site Engineer,Modern Controls -,"Giza, Egypt","Full Time
On-site"
Technical Office Engineer MEP,Adcon construction -,"Sheraton, Cairo, Egypt","Full Time
On-site"
Site Engineer – Curtain Wall,CSCEC International Facade Egypt Co Ltd -,"Ain Sokhna, Suez, Egypt","Full Time
On-site"
Mechanical Design Engineer,ALSAKR for Trading and Manufacturing of Machinery and Equipments -,"10th of Ramadan City, Sharqia, Egypt","Full Time
On-site"
Senior Principal Engineer - Dry Utilities,Atkins Realis -,"Nasr City, Cairo, Egypt","Full Time
On-site"
Odoo Implementation Specialist,Al Mokhlif Oud -,"Nasr City, Cairo, Egypt","Full Time
On-site"
Business Development Engineer,Terra Egypt -,"Sheikh Zayed, Giza, Egypt","Full Time
On-site"
Technical Lead / Engineering Lead,CODE SARAA Information Technology -,"Riyadh, Saudi Arabia","Part Time
Remote"
QA / Software Test Engineer (AI-Augmented Testing),Roaya -,"Maadi, Cairo, Egypt","Full Time
On-site"
Account Manager (Engineer),Confidential -,"New Cairo, Cairo, Egypt","Full Time
On-site"
Production Engineer,TechnoBit Group -,"Belbes, Sharqia, Egypt","Full Time
On-site"
SCM Specialist,Confidential -,"10th of Ramadan City, Cairo, Egypt","Full Time
On-site"
mechanical engineering lab supervisor,Universities of Canada in Egypt -,"New Capital, Cairo, Egypt","Full Time
On-site"
Specification Manager ( Civil -Arch Engineer),EAMIC -,"Cairo, Egypt",Full Time
Quality Assurance Engineer,El Abd Group -,"Alsadat City, Monufya, Egypt","Full Time
On-site"
MEP Technical Office Engineer,Link International -,"Cairo, Egypt","Full Time
On-site"
Senior VAS Engineer,Efada Technology -,"6th of October, Giza, Egypt","Full Time
Hybrid"
HSE Engineer,EUREKA Solar Energy -,"10th of Ramadan City, Sharqia, Egypt","Full Time
On-site"
Production Engineer (1–2 Years Experience),ABCO Group -,"Bourj Alarab, Alexandria, Egypt","Full Time
On-site"
Quality Control Engineer,Decotam -,"6th of October, Giza, Egypt","Full Time
On-site"
Piping Engineer,Doosan Enerbility co .LTD -,"Dabaa, Matruh, Egypt","Full Time
On-site"
Electrical Maintenance Engineer,Confidential -,"Dakahlia, Egypt","Full Time
On-site"
Mechatronics Engineer,Circle K -,"Heliopolis, Cairo, Egypt","Full Time
On-site"
Technical Office Engineer,Moonland for Real Estate & Touristic Investments (Image) -,"Sharm Alsheikh, South Sinai, Egypt","Full Time
On-site"
Distributer Controller,Cairo Three A Poultry -,"New Cairo, Cairo, Egypt","Full Time
On-site"
Junior Electrical Maintenance Engineer,Confidential -,"Faisal, Giza, Egypt","Full Time
On-site"
IT Engineer,Marbella For Food Industry -,"6th of October, Giza, Egypt","Full Time
On-site"
Senior Software Quality Control Engineer,BI-Technologies -,"New Cairo, Cairo, Egypt","Full Time
Hybrid"
IPM & Housekeeping Engineer,Beyti - an Almarai Subsidiary -,"Noubaria, Beheira, Egypt","Full Time
On-site"
Technical Office Engineer - Architecture,Jidaar Construction -,"New Cairo, Cairo, Egypt","Full Time
On-site"
Electrical Site Engineer,Power Solutions -,"6th of October, Giza, Egypt","Full Time
Freelance / Project
On-site"
Senior Technical Office Engineer,Confidential -,"Ras Sedr, South Sinai, Egypt","Full Time
On-site"
